name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions,clearances,headed clearance
 Salomón Rondón,8.0,0.21,5.0,3.0,0.0,0.0,0.0,94.0,26.0,0.28,2.0,8.0,2.0,722.0,19.0,4.0,9.0,2.0,0.0,41.0,29.0,18.0,28.0,7.0,41.0,29.0
 Alexis Sánchez,24.0,0.63,3.0,17.0,4.0,2.0,2.0,129.0,49.0,0.38,5.0,8.0,10.0,1643.0,43.24,10.0,66.0,6.0,0.0,49.0,27.0,53.0,43.0,24.0,4.0,0.0
 Troy Deeney,10.0,0.27,2.0,7.0,1.0,3.0,0.0,42.0,18.0,0.43,0.0,7.0,4.0,841.0,22.73,2.0,16.0,7.0,0.0,43.0,19.0,20.0,8.0,14.0,50.0,36.0
 Jermain Defoe,15.0,0.41,0.0,10.0,5.0,5.0,0.0,99.0,31.0,0.31,2.0,7.0,2.0,456.0,12.32,0.0,19.0,1.0,0.0,24.0,36.0,20.0,38.0,3.0,2.0,0.0
 Romelu Lukaku,25.0,0.68,6.0,7.0,12.0,1.0,1.0,110.0,55.0,0.5,3.0,8.0,6.0,965.0,26.08,8.0,45.0,3.0,0.0,33.0,36.0,9.0,24.0,0.0,27.0,15.0
 Sam Vokes,10.0,0.27,2.0,7.0,1.0,2.0,0.0,57.0,23.0,0.4,0.0,3.0,3.0,602.0,16.27,2.0,7.0,0.0,0.0,24.0,23.0,7.0,8.0,5.0,31.0,25.0
 Christian Benteke,15.0,0.42,7.0,6.0,2.0,2.0,0.0,105.0,40.0,0.38,4.0,12.0,2.0,920.0,25.56,1.0,0.0,10.0,0.0,81.0,36.0,9.0,17.0,6.0,48.0,39.0
 Eden Hazard,16.0,0.44,0.0,12.0,4.0,2.0,0.0,77.0,33.0,0.43,0.0,9.0,5.0,1750.0,48.61,3.0,84.0,3.0,0.0,19.0,8.0,18.0,17.0,28.0,4.0,0.0
 Joshua King,16.0,0.44,0.0,11.0,5.0,2.0,0.0,67.0,31.0,0.46,2.0,4.0,2.0,715.0,19.86,3.0,42.0,1.0,0.0,58.0,5.0,49.0,15.0,19.0,39.0,24.0
 Álvaro Negredo,9.0,0.25,1.0,0.0,8.0,2.0,0.0,69.0,23.0,0.33,0.0,5.0,4.0,862.0,23.94,8.0,8.0,5.0,0.0,45.0,17.0,18.0,19.0,10.0,65.0,44.0
