name,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
 Heurelho Gomes,115.0,1.0,35.0,50.0,11.0,32.0,169.0,310.0,6.0,64.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1034.0,27.21,306.0
 Fraser Forster,76.0,1.0,12.0,20.0,15.0,3.0,108.0,311.0,14.0,48.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,859.0,22.61,251.0
 Ben Foster,116.0,0.0,10.0,50.0,16.0,28.0,63.0,325.0,6.0,51.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1119.0,29.45,358.0
 Lukasz Fabianski,117.0,1.0,16.0,67.0,11.0,28.0,169.0,308.0,8.0,69.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,928.0,25.08,333.0
 Thibaut Courtois,68.0,0.0,18.0,37.0,10.0,16.0,165.0,224.0,16.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,792.0,22.0,172.0
 Artur Boruc,114.0,2.0,20.0,32.0,14.0,11.0,181.0,297.0,9.0,63.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,888.0,25.37,235.0
 Petr Cech,115.0,0.0,10.0,28.0,17.0,24.0,191.0,252.0,12.0,37.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,844.0,24.11,216.0
 David De Gea,74.0,0.0,3.0,26.0,14.0,10.0,107.0,235.0,14.0,29.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,849.0,24.26,320.0
 Tom Heaton,141.0,1.0,12.0,26.0,34.0,14.0,117.0,317.0,10.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1127.0,32.2,378.0
 Hugo Lloris,78.0,0.0,11.0,19.0,10.0,34.0,152.0,213.0,15.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,31.18,240.0
 Kasper Schmeichel,113.0,0.0,12.0,37.0,9.0,30.0,71.0,278.0,8.0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,888.0,29.6,310.0
 Wayne Hennessey,84.0,0.0,7.0,46.0,6.0,13.0,93.0,267.0,7.0,46.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,809.0,27.9,306.0
 Jordan Pickford,135.0,0.0,22.0,42.0,16.0,22.0,83.0,306.0,4.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,32.9,331.0
 Lee Grant,91.0,0.0,21.0,23.0,14.0,20.0,100.0,278.0,9.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,881.0,31.46,338.0
 Simon Mignolet,53.0,2.0,22.0,30.0,7.0,20.0,139.0,173.0,9.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,28.79,147.0
 Víctor Valdés,80.0,0.0,14.0,27.0,14.0,23.0,78.0,258.0,8.0,36.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,888.0,31.71,295.0
 Claudio Bravo,33.0,1.0,12.0,12.0,6.0,27.0,92.0,121.0,5.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,30.18,101.0
 Eldin Jakupovic,74.0,2.0,11.0,16.0,9.0,13.0,90.0,228.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,28.95,153.0
 Darren Randolph,64.0,1.0,6.0,26.0,7.0,10.0,67.0,184.0,4.0,39.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,625.0,28.41,234.0
 Joel Robles,54.0,0.0,9.0,37.0,9.0,5.0,71.0,147.0,10.0,20.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,570.0,28.5,162.0
 Maarten Stekelenburg,42.0,2.0,10.0,18.0,7.0,9.0,71.0,127.0,3.0,24.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,472.0,24.84,148.0
 Willy Caballero,31.0,1.0,8.0,11.0,4.0,13.0,76.0,79.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,23.0,72.0
 David Marshall,63.0,0.0,7.0,21.0,9.0,7.0,63.0,148.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,410.0,25.63,113.0
 Adrián,53.0,0.0,5.0,16.0,2.0,13.0,56.0,130.0,6.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,417.0,26.06,129.0
 Brad Guzan,37.0,0.0,3.0,9.0,6.0,4.0,40.0,97.0,3.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,297.0,29.7,110.0
 Loris Karius,20.0,0.0,4.0,5.0,4.0,4.0,38.0,47.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,26.8,47.0
 Steve Mandanda,24.0,0.0,5.0,6.0,4.0,5.0,42.0,70.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,29.11,87.0
 Vito Mannone,41.0,0.0,2.0,11.0,6.0,6.0,35.0,62.0,2.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,27.11,55.0
 Ron-Robert Zieler,18.0,0.0,4.0,7.0,4.0,5.0,13.0,77.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,29.89,70.0
 Jack Butland,17.0,0.0,1.0,8.0,2.0,2.0,19.0,40.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,28.0,56.0
 Shay Given,19.0,1.0,1.0,6.0,5.0,8.0,17.0,31.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,132.0,26.4,54.0
 Michel Vorm,7.0,0.0,0.0,1.0,1.0,3.0,23.0,28.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,26.8,35.0
 Paul Robinson,10.0,0.0,2.0,2.0,1.0,1.0,1.0,26.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,34.0,40.0
 Asmir Begovic,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,23.0,9.0
 Adam Federici,5.0,0.0,1.0,1.0,0.0,1.0,11.0,26.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,27.0,16.0
 Emiliano Martínez,5.0,0.0,0.0,4.0,1.0,0.0,10.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,21.5,6.0
 David Ospina,4.0,0.0,0.0,1.0,1.0,2.0,6.0,11.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,14.0
