name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Nathan Aké,6.0,59.0,53.0,0.6,2.0,2.0,48.0,229.0,136.0,1.0,178.0,186.0,141.0,10.0,105.0,92.0,0.0,0.0,3.0,1589.0,41.82,2.0,5.0,0.2,0.0,86.0,5.0,0.0,27.0,2.0,2.0,0.0,1.0,1.0,1.0
 Lewis Dunk,10.0,54.0,67.0,0.49,1.0,9.0,71.0,223.0,128.0,2.0,252.0,214.0,142.0,10.0,122.0,73.0,4.0,0.0,1.0,1496.0,39.37,1.0,7.0,0.29,3.0,164.0,7.0,0.0,36.0,0.0,1.0,0.0,1.0,0.0,0.0
 Ahmed Hegazi,10.0,55.0,58.0,0.66,0.0,0.0,60.0,270.0,152.0,1.0,183.0,192.0,145.0,22.0,103.0,84.0,0.0,1.0,0.0,1186.0,31.21,0.0,10.0,0.3,1.0,135.0,4.0,0.0,24.0,2.0,2.0,2.0,0.0,0.0,0.0
 Zanka,10.0,58.0,55.0,0.65,0.0,3.0,76.0,241.0,121.0,0.0,166.0,154.0,153.0,3.0,88.0,82.0,0.0,1.0,2.0,1561.0,41.08,1.0,0.0,0.0,2.0,104.0,6.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0
 Harry Maguire,9.0,60.0,63.0,0.73,1.0,7.0,48.0,176.0,115.0,0.0,269.0,263.0,136.0,51.0,119.0,63.0,0.0,0.0,4.0,1740.0,45.79,5.0,15.0,0.13,2.0,173.0,7.0,0.0,34.0,4.0,2.0,1.0,1.0,0.0,2.0
 Alfie Mawson,9.0,56.0,32.0,0.69,0.0,3.0,35.0,222.0,126.0,1.0,220.0,186.0,117.0,23.0,122.0,74.0,0.0,1.0,1.0,1744.0,45.89,1.0,2.0,0.5,1.0,190.0,3.0,0.0,19.0,1.0,2.0,0.0,2.0,0.0,0.0
 César Azpilicueta,15.0,38.0,80.0,0.74,0.0,3.0,54.0,119.0,65.0,1.0,207.0,179.0,114.0,6.0,81.0,55.0,1.0,0.0,6.0,2760.0,74.59,11.0,80.0,0.19,10.0,124.0,1.0,0.0,25.0,1.0,2.0,1.0,1.0,0.0,0.0
 Shane Duffy,9.0,52.0,31.0,0.61,0.0,5.0,50.0,327.0,237.0,4.0,162.0,254.0,137.0,6.0,198.0,95.0,0.0,1.0,1.0,1358.0,36.7,2.0,3.0,0.67,0.0,135.0,8.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,1.0
 Christopher Schindler,9.0,53.0,83.0,0.73,2.0,2.0,75.0,265.0,143.0,0.0,156.0,258.0,139.0,2.0,155.0,95.0,0.0,0.0,1.0,1389.0,37.54,3.0,4.0,0.0,0.0,93.0,6.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0
 Pablo Zabaleta,10.0,62.0,96.0,0.7,0.0,1.0,61.0,124.0,79.0,0.0,182.0,194.0,159.0,7.0,58.0,57.0,1.0,0.0,1.0,1153.0,31.16,0.0,71.0,0.18,1.0,53.0,9.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0
