name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
 Philip Billing,1.0,0.08,1.0,0.0,0.0,0.0,0.0,17.0,3.0,0.18,3.0,0.0,0.0,489.0,40.75,0.0,33.0,0.21,0.0,34.0,4.0,0.0,19.0,2.0,36.0,0.69,8.0,22.0,19.0,9.0,82.0,93.0,63.0,10.0,32.0,12.0,0.0
 Conor Coady,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,44.0,0.0,0.0,0.0,1.0,84.0,2.0,0.0,3.0,0.0,9.0,0.44,0.0,15.0,35.0,21.0,75.0,25.0,14.0,1.0,11.0,4.0,0.0
 Rúben Neves,2.0,0.17,0.0,2.0,0.0,1.0,1.0,32.0,6.0,0.19,0.0,0.0,1.0,719.0,59.92,1.0,20.0,0.2,5.0,90.0,3.0,0.0,17.0,0.0,25.0,0.48,12.0,23.0,9.0,4.0,95.0,49.0,61.0,5.0,11.0,11.0,0.0
 Mohamed Diamé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.3,1.0,2.0,0.0,335.0,27.92,0.0,5.0,0.0,1.0,19.0,2.0,0.0,20.0,0.0,42.0,0.57,2.0,9.0,19.0,10.0,58.0,83.0,89.0,7.0,24.0,18.0,0.0
 Abdoulaye Doucouré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.21,0.0,2.0,4.0,661.0,55.08,3.0,3.0,0.0,2.0,32.0,2.0,0.0,10.0,0.0,26.0,0.58,5.0,10.0,17.0,6.0,91.0,59.0,51.0,11.0,20.0,14.0,0.0
 Ryan Fraser,3.0,0.25,0.0,2.0,1.0,0.0,0.0,19.0,8.0,0.42,0.0,0.0,6.0,388.0,32.33,13.0,75.0,0.25,3.0,11.0,1.0,0.0,0.0,3.0,3.0,0.67,8.0,6.0,1.0,0.0,38.0,37.0,44.0,9.0,6.0,12.0,0.0
 Jorginho,1.0,0.08,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.4,0.0,0.0,0.0,1186.0,98.83,1.0,2.0,0.5,9.0,26.0,1.0,0.0,7.0,0.0,21.0,0.38,2.0,8.0,13.0,9.0,75.0,29.0,42.0,1.0,3.0,6.0,0.0
 Will Hughes,1.0,0.08,0.0,0.0,1.0,0.0,0.0,14.0,5.0,0.36,0.0,2.0,1.0,331.0,27.58,2.0,7.0,0.29,1.0,4.0,3.0,0.0,23.0,0.0,30.0,0.53,6.0,11.0,10.0,2.0,57.0,76.0,71.0,10.0,8.0,12.0,0.0
 N'Golo Kanté,1.0,0.08,0.0,0.0,1.0,0.0,0.0,13.0,2.0,0.15,0.0,1.0,1.0,695.0,57.92,1.0,9.0,0.33,2.0,10.0,3.0,0.0,8.0,1.0,22.0,0.59,7.0,10.0,10.0,7.0,70.0,43.0,57.0,4.0,13.0,15.0,0.0
 Mario Lemina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.24,1.0,0.0,1.0,530.0,44.17,1.0,5.0,0.2,2.0,32.0,4.0,0.0,20.0,1.0,29.0,0.55,4.0,34.0,22.0,11.0,73.0,73.0,66.0,10.0,21.0,8.0,0.0
