,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions_y,clearances,headed clearance
0,Sergio Aguero,Manchester City,88,ST,89.0,92,86,86.66666667,91,90,84,83,87,85,74.83333333,70,82,72,63,79,83,89,86,90,89,88,0,27.4,68,24,13,20,12,71.0,57,80,74,73,24.0,0.8,5.0,16.0,3.0,4.0,0.0,119.0,52.0,0.44,4.0,16.0,2.0,727.0,24.23,5.0,20.0,1.0,0.0,20.0,27.0,15.0,26.0,6.0,0.0,0.0
1,Diego Costa,Chelsea,85,ST,76.5,75,78,80.83333333,88,88,69,76,83,81,61.16666667,63,58,59,48,65,74,82,63,52,82,85,0,44.6,82,40,28,39,34,81.5,90,60,85,91,12.0,0.43,0.0,9.0,3.0,0.0,0.0,68.0,28.0,0.41,1.0,9.0,6.0,824.0,29.43,4.0,12.0,8.0,0.0,43.0,33.0,21.0,15.0,6.0,25.0,17.0
2,Wayne Rooney,Manchester United,85,ST,73.0,72,74,85.16666667,87,85,85,81,87,86,82.33333333,78,84,84,85,80,83,79,77,77,83,87,0,50.8,80,54,29,54,37,85.25,89,81,87,84,8.0,0.29,0.0,7.0,1.0,1.0,0.0,72.0,25.0,0.35,0.0,3.0,6.0,1144.0,40.86,6.0,51.0,4.0,0.0,28.0,15.0,29.0,19.0,9.0,15.0,7.0
3,Daniel Sturridge,Liverpool,83,ST,88.5,88,89,81.0,84,85,83,75,83,76,67.16666667,62,62,68,62,75,74,84,78,64,81,82,0,29.2,73,22,15,24,12,69.75,60,74,72,73,8.0,0.57,3.0,1.0,4.0,0.0,0.0,48.0,23.0,0.48,2.0,5.0,1.0,317.0,22.64,0.0,11.0,0.0,0.0,2.0,7.0,3.0,6.0,3.0,4.0,3.0
4,Harry Kane,Tottenham Hotspur,82,ST,73.0,69,77,80.16666667,84,85,78,82,82,70,70.16666667,69,71,71,63,75,72,77,74,62,81,84,0,46.2,81,35,41,36,38,76.75,74,67,84,82,25.0,0.66,1.0,19.0,5.0,5.0,0.0,158.0,75.0,0.47,7.0,18.0,1.0,962.0,25.32,4.0,44.0,5.0,0.0,42.0,30.0,29.0,34.0,21.0,31.0,17.0
5,Falcao,Chelsea,82,ST,71.5,75,68,82.0,85,83,76,84,79,85,66.16666667,55,83,71,53,67,68,74,85,75,81,85,0,41.8,91,41,16,42,19,75.75,70,92,68,73,1.0,0.1,1.0,0.0,0.0,0.0,0.0,11.0,5.0,0.45,0.0,0.0,0.0,84.0,8.4,0.0,0.0,1.0,0.0,7.0,2.0,2.0,2.0,3.0,1.0,1.0
6,Romelu Lukaku,Everton,82,ST,82.5,80,85,80.16666667,84,84,76,80,86,71,65.33333333,68,64,66,58,67,69,76,64,48,76,73,0,38.8,80,27,27,30,30,78.75,72,71,80,92,18.0,0.49,4.0,4.0,10.0,1.0,0.0,118.0,48.0,0.41,7.0,18.0,6.0,1098.0,29.68,8.0,31.0,3.0,0.0,30.0,16.0,13.0,32.0,0.0,5.0,4.0
7,Olivier Giroud,Arsenal,82,ST,63.5,63,64,81.66666667,84,84,76,81,84,81,67.5,63,70,65,56,76,75,69,65,52,82,83,0,42.0,86,41,26,37,20,81.25,76,82,79,88,16.0,0.42,7.0,1.0,8.0,1.0,0.0,101.0,43.0,0.43,3.0,13.0,6.0,839.0,22.08,9.0,25.0,2.0,0.0,40.0,26.0,34.0,21.0,10.0,26.0,17.0
8,Roberto Firmino,Liverpool,82,CF,76.5,78,75,78.5,81,82,79,72,79,78,75.66666667,70,78,67,74,82,83,87,82,78,83,80,0,42.2,71,33,24,52,31,73.75,64,81,79,71,10.0,0.32,1.0,6.0,3.0,0.0,0.0,63.0,25.0,0.4,4.0,6.0,7.0,998.0,32.19,9.0,38.0,1.0,0.0,29.0,15.0,67.0,17.0,16.0,12.0,7.0
9,Alexandre Pato,Chelsea,80,ST,86.0,87,85,77.83333333,80,81,76,77,78,75,67.83333333,68,82,63,53,75,66,83,81,69,82,81,0,32.0,73,29,16,23,19,69.0,63,81,60,72,1.0,0.5,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.5,0.0,2.0,0.0,27.0,13.5,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0
