,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
0,De Gea,Manchester United,91,GK,58,57,58,18,12,13,12,40,31,13,44,17,21,19,51,50,68,34,60,43,42,90,64,20,21,30,13,21,13,53,38,67,40,64,115.0,0.0,6.0,12.0,10.0,6.0,147.0,290.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,25.46,260.0
1,Thibaut Courtois,Chelsea,89,GK,49,46,52,20,13,14,17,27,36,12,30,14,19,20,35,33,44,26,61,45,23,80,52,15,13,15,11,18,16,53,23,68,38,70,76.0,0.0,9.0,24.0,9.0,12.0,214.0,248.0,15.0,34.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,983.0,28.09,188.0
2,Hugo Lloris,Tottenham Hotspur,88,GK,63,65,62,15,10,10,14,40,23,11,35,13,11,10,50,50,30,28,55,54,34,84,61,15,10,27,12,10,18,42,31,74,41,43,86.0,0.0,20.0,17.0,9.0,37.0,169.0,227.0,15.0,35.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,996.0,27.67,217.0
3,Ederson,Manchester City,85,GK,63,64,63,21,20,14,18,17,42,18,47,20,15,20,55,56,67,35,60,48,37,86,58,14,14,25,9,15,8,54,35,58,41,68,58.0,2.0,14.0,15.0,5.0,40.0,167.0,160.0,16.0,26.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,928.0,25.78,147.0
4,Petr Cech,Arsenal,84,GK,37,35,38,14,13,12,11,23,21,17,33,19,13,19,33,35,53,23,49,34,22,81,70,15,19,23,11,13,12,46,17,51,32,65,91.0,1.0,20.0,31.0,6.0,22.0,223.0,225.0,11.0,48.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,811.0,23.85,184.0
5,Kasper Schmeichel,Leicester City,82,GK,60,60,60,18,13,12,14,26,36,15,39,18,13,15,46,44,59,31,62,47,40,80,52,15,16,20,14,14,13,51,35,60,34,64,93.0,2.0,20.0,25.0,7.0,25.0,107.0,273.0,8.0,47.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1032.0,31.27,331.0
6,Jack Butland,Stoke City,81,GK,56,58,55,19,16,16,13,42,29,12,30,11,12,14,30,40,40,33,55,50,36,73,59,16,12,27,16,13,11,61,40,76,40,79,144.0,0.0,14.0,20.0,18.0,27.0,103.0,338.0,6.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1169.0,33.4,403.0
7,Tom Heaton,Burnley,81,GK,54,56,53,13,12,12,12,24,14,12,31,17,15,13,37,32,46,29,54,52,28,74,56,17,16,24,15,15,13,53,31,73,40,66,8.0,0.0,1.0,1.0,1.0,0.0,22.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,23.5,34.0
8,Asmir Begovic, Bournemouth,80,GK,55,52,58,17,11,12,12,40,28,12,25,14,17,15,32,26,34,26,52,40,24,75,62,14,12,21,13,11,12,59,42,38,36,80,111.0,1.0,20.0,31.0,17.0,11.0,215.0,328.0,6.0,61.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,945.0,24.87,246.0
9,Lukasz Fabianski,Swansea City,80,GK,48,50,47,15,15,13,20,22,14,17,27,14,18,12,32,20,52,25,52,44,22,71,63,13,11,16,11,12,13,51,43,68,25,65,137.0,3.0,15.0,39.0,23.0,10.0,159.0,358.0,9.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1113.0,29.29,340.0
10,Loris Karius,Liverpool,80,GK,53,55,52,17,8,18,16,19,20,14,32,14,12,14,38,36,48,26,51,43,23,77,34,13,14,13,13,11,13,45,21,74,36,57,31.0,1.0,11.0,9.0,3.0,13.0,106.0,103.0,10.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,521.0,27.42,77.0
11,Sergio Romero,Manchester United,80,GK,45,47,44,14,11,14,11,16,14,17,35,11,12,13,48,39,55,29,52,44,40,78,63,14,12,21,14,11,15,56,33,63,35,75,3.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,6.0
