,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
0,De Gea,Manchester United,91,GK,58,57,58,18,12,13,12,40,31,13,44,17,21,19,51,50,68,34,60,43,42,90,68,20,21,30,15,21,13,54,38,67,43,64,42.0,0.0,4.0,5.0,6.0,1.0,42.0,94.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,25.42,98.0
1,Hugo Lloris,Tottenham Hotspur,88,GK,63,65,62,15,10,10,14,40,23,11,35,13,11,10,50,50,30,28,55,54,34,85,65,20,10,27,29,10,18,42,31,74,41,43,31.0,0.0,6.0,5.0,0.0,5.0,32.0,68.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,33.63,56.0
2,Ederson,Manchester City,86,GK,63,64,63,21,20,14,18,17,42,18,47,20,15,20,55,56,67,35,60,48,37,86,70,20,14,25,28,15,8,54,35,58,41,68,19.0,0.0,1.0,9.0,0.0,7.0,66.0,67.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,294.0,24.5,40.0
3,Alisson,Liverpool,85,GK,49,54,45,16,13,13,14,23,21,20,41,17,19,18,44,45,66,33,40,37,30,83,65,16,19,11,15,19,16,55,27,52,32,78,25.0,0.0,6.0,2.0,4.0,6.0,60.0,66.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,27.17,65.0
4,Kasper Schmeichel,Leicester City,84,GK,60,60,60,18,13,12,14,26,36,15,39,18,13,15,46,44,59,31,62,47,40,81,67,15,16,20,14,14,13,51,35,60,34,64,29.0,0.0,2.0,3.0,3.0,4.0,49.0,90.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,322.0,26.83,101.0
5,Bernd Leno,Arsenal,84,GK,49,46,52,13,7,9,14,23,23,10,31,9,9,8,33,37,53,26,52,44,22,80,65,20,13,22,27,15,18,54,28,73,43,68,16.0,0.0,6.0,5.0,0.0,5.0,38.0,37.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,24.5,20.0
6,Jordan Pickford,Everton,83,GK,48,53,44,21,18,19,13,41,31,20,46,17,18,16,55,55,68,31,55,55,40,83,69,18,15,24,16,20,12,56,30,72,45,70,36.0,2.0,1.0,5.0,1.0,8.0,48.0,90.0,3.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,331.0,27.58,79.0
7,Petr Cech,Arsenal,82,GK,37,35,38,14,13,12,11,23,21,17,33,19,13,19,33,35,53,23,46,34,22,77,63,15,19,23,12,13,12,45,17,50,32,63,28.0,0.0,2.0,6.0,2.0,3.0,46.0,53.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,32.0,38.0
8,Lukasz Fabianski,West Ham United,81,GK,48,50,47,15,15,13,20,22,14,17,27,14,18,12,32,20,52,25,52,44,22,71,63,13,11,16,14,12,13,51,43,68,25,65,51.0,0.0,6.0,8.0,2.0,1.0,52.0,96.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,28.5,88.0
9,Joe Hart,Burnley,79,GK,58,56,60,21,14,14,19,30,40,19,30,14,17,13,35,34,42,28,50,32,20,72,58,16,10,25,16,14,13,48,36,69,28,61,53.0,1.0,4.0,2.0,3.0,4.0,36.0,123.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,30.92,129.0
10,Asmir Begovic,Bournemouth,79,GK,55,52,58,20,11,19,12,40,28,12,25,14,17,15,32,26,34,26,52,40,24,74,61,15,12,21,18,11,12,59,42,38,36,80,33.0,0.0,3.0,11.0,2.0,2.0,67.0,98.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,22.67,71.0
11,Mathew Ryan,Brighton and Hove Albion,79,GK,52,53,52,18,10,11,18,25,35,15,41,23,23,12,45,40,68,25,53,50,24,73,64,17,14,23,10,20,17,54,36,78,34,68,46.0,0.0,3.0,8.0,2.0,0.0,26.0,124.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,30.08,128.0
12,Michel Vorm,Tottenham Hotspur,78,GK,54,53,54,18,10,14,19,41,23,12,29,13,12,14,35,39,32,32,63,53,35,80,63,19,17,28,22,11,14,50,23,72,36,65,9.0,0.0,1.0,1.0,1.0,1.0,17.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,5.0
13,Martin Dubravka,Newcastle United,78,GK,46,49,44,14,10,10,17,20,22,11,38,12,15,13,45,48,54,30,44,60,33,73,58,18,12,25,19,15,14,49,26,73,40,60,34.0,0.0,5.0,5.0,3.0,5.0,41.0,113.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,28.33,96.0
14,Ben Foster,Watford,77,GK,49,50,48,20,14,18,14,41,27,14,30,15,15,17,32,36,42,25,45,50,25,70,63,19,14,23,22,15,14,43,15,75,32,57,28.0,0.0,2.0,12.0,1.0,15.0,22.0,106.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,31.08,113.0
15,Alex McCarthy,Southampton,77,GK,57,58,56,18,16,17,14,41,20,12,31,11,15,18,35,33,50,23,35,43,17,69,61,15,16,22,13,13,12,51,35,68,35,63,40.0,0.0,10.0,5.0,5.0,2.0,40.0,85.0,4.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,272.0,22.67,85.0
16,Jonas Lossl,Huddersfield Town,76,GK,32,29,34,14,10,12,15,12,22,11,33,14,14,13,39,35,53,22,32,30,19,72,56,17,17,20,20,13,15,46,17,51,25,67,22.0,0.0,6.0,6.0,2.0,2.0,25.0,76.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,31.9,112.0
